O1;O2;T3;T4;O1_T3;O2_T4
0.0021921326330418688;0.0022103577432091483;0.0023039948178194239;0.0021722331736920039;0.00011186218477755513;-3.8124569517144439E-05
0.011168153195759849;0.011261637370041244;0.011737624051195102;0.011065910925221337;0.00056947085543525289;-0.00019572644481990684
0.028122779460471873;0.028359185607578521;0.029556392093836731;0.027864526111765993;0.0014336126333648579;-0.00049465949581252791
0.0502546361691906;0.05067610440249256;0.052818110225101224;0.049797106766964486;0.0025634740559106264;-0.000878997635528074
0.072793176919479272;0.073398759110304787;0.0765101635815312;0.072141702211098446;0.0037169866620519326;-0.0012570568992063408
0.0866899249639988;0.0874044280134869;0.091119303144935423;0.085927818194518613;0.0044293781809366245;-0.0014766098189682858
0.083728170006792918;0.084411029779016072;0.088007014389919966;0.083007067142375754;0.0042788443831270478;-0.0014039626366403185
0.064632685045473315;0.06515025944868158;0.067935256838977817;0.06409639775892699;0.0033025717935045024;-0.00105386168975459
0.03739461600400714;0.037683104173347887;0.0393022238318269;0.037110726682697964;0.0019076078278197628;-0.00057237749064992238
0.011236839722365969;0.011313953352765188;0.011801847345348577;0.011185671267239371;0.00056500762298260752;-0.00012828208552581773
-0.0070332434652075589;-0.0070957981522033406;-0.0074060023442008875;-0.0069254082618569537;-0.00037275887899332859;0.00017038989034638685
-0.015796083755881977;-0.015920785189069645;-0.016614475605204605;-0.015606421974711664;-0.00081839184932262776;0.00031436321435798081
-0.019484214166628863;-0.019633514418329008;-0.020484502561165213;-0.019251088837053287;-0.00100028839453635;0.00038242558127572074
-0.023949858362599108;-0.024133493225559716;-0.025172989797460143;-0.023669103288327772;-0.0012231314348610349;0.00046438993723194391
-0.030562711368176794;-0.030800967331660073;-0.032122918679911808;-0.030223500466848192;-0.0015602073117350138;0.00057746686481188053
-0.036550999373477062;-0.036839875560956185;-0.038420177093901942;-0.0361662336025404;-0.0018691777204248791;0.00067364195841578683
-0.039857472841100861;-0.040172684473578121;-0.041899517598771217;-0.039455166675004733;-0.0020420447576703568;0.00071751779857338882
-0.0410694179255654;-0.041391088257829695;-0.043174995677740122;-0.0406670681426061;-0.0021055777521747226;0.00072402011522359339
-0.041501957331704843;-0.041824581988970863;-0.043626430370549481;-0.041100660145704342;-0.0021244730388446376;0.00072392184326652148
-0.041908979509414496;-0.042234203948972364;-0.044046569302749139;-0.041507049189389369;-0.0021375897933346433;0.00072715475958299441
-0.04262885340809261;-0.04295846859136869;-0.044795308810910213;-0.04223218615085951;-0.0021664554028176033;0.00072628244050917945
-0.043129464973659867;-0.043460911889601578;-0.045317368804702648;-0.042752218814028714;-0.0021879038310427812;0.00070869307557286376
-0.04196370393029;-0.042284962192625973;-0.04409189872913704;-0.041624422007025555;-0.0021281947988470371;0.00066054018560041811
-0.038680842999913;-0.0389763106113696;-0.040644710626243717;-0.038390936866447567;-0.0019638676263307175;0.00058537374492203392
-0.035042578907782646;-0.035310546485641338;-0.036828215620735329;-0.034791864706680442;-0.0017856367129526832;0.00051868177896089579
-0.032923692388040618;-0.033179159815624082;-0.03461176683485296;-0.0326844416259041;-0.0016880744468123418;0.00049471818971998094
-0.031768402888124846;-0.032022134063233579;-0.033407241888467075;-0.031521305436584525;-0.0016388390003422293;0.00050082862664905387
-0.029550553196516505;-0.029793248150197994;-0.031081552556534359;-0.029304818888306831;-0.001530999360017854;0.00048842926189116356
-0.025654485720908941;-0.02586803119501592;-0.026986166426514746;-0.025436002932282469;-0.0013316807056058047;0.00043202826273345055
-0.021436799949617374;-0.02161524025961006;-0.022544922882709602;-0.021257884171866748;-0.0011081229330922281;0.00035735608774331226
-0.018243492643971234;-0.018395717122057814;-0.019172921717796144;-0.018097630717197475;-0.00092942907382491044;0.00029808640486033919
-0.016007070454846464;-0.016142158347731785;-0.016807339236635233;-0.015892582650531319;-0.000800268781788769;0.00024957569720046591
-0.013757821324525186;-0.013875533785232231;-0.014437203997778023;-0.013687338456151447;-0.00067938267325283637;0.00018819532908078383
-0.010786037127731164;-0.010882308666061276;-0.011315480864595322;-0.010769327605171162;-0.00052944373686415747;0.00011298106089011398
-0.0072732633377929961;-0.00734871084555299;-0.007627754034794848;-0.0073028986812267013;-0.00035449069700185191;4.58121643262888E-05
-0.0040852908077622582;-0.0041450051662034618;-0.0042827442970798943;-0.0041398329153055895;-0.0001974534893176361;5.1722508978722589E-06
-0.0018382339389308039;-0.0018859485567814965;-0.0019279516153943952;-0.001892828750434171;-8.9717676463591314E-05;-6.8801936526745322E-06
-0.00016915238617017445;-0.00020383585985122188;-0.000178722977274908;-0.00020645747084958199;-9.5705911047335519E-06;-2.6216109983601024E-06
0.0017327397920044326;0.0017153738453219432;0.0018200040710560179;0.0017141698887987499;8.7264279051585316E-05;-1.203956523193302E-06
0.0040153079704871308;0.004018391930897482;0.00422257833364967;0.0040031518818862489;0.00020727036316253895;-1.5240049011233138E-05
0.0061370010887758543;0.0061581013065554174;0.0064560653764642855;0.0061167418517130631;0.00031906428768843122;-4.1359454842354246E-05
0.00777436874836834;0.0078061704862291536;0.0081779415778417859;0.0077383586341233657;0.00040357282947344614;-6.7811852105787926E-05
0.0090506684457656965;0.0090876742197146913;0.0095183430480292111;0.0089998095488334467;0.00046767460226351462;-8.7864670881244653E-05
0.010017649010905291;0.010059490668487645;0.010532104396064664;0.00995759844475071;0.00051445538515937361;-0.00010189222373693449
0.010699555297882262;0.010748425064500312;0.011244200588646747;0.010634046970150742;0.00054464529076448526;-0.00011437809434956987
0.011497209043192881;0.011557199636714043;0.012078237842670881;0.011423074437657738;0.00058102879947800022;-0.000134125199056305
0.012674826118663638;0.012750433224162003;0.013315224521784186;0.012585174831071442;0.00064039840312054772;-0.00016525839309056156
0.01360377508135442;0.013692139374570228;0.014293714673130885;0.013498291433790957;0.00068993959177646516;-0.00019384794077927092
0.013514906466297723;0.013604367766337052;0.014201402871398597;0.013401778307180546;0.0006864964051008747;-0.00020258945915650577
0.012886342803671267;0.012970012673537487;0.013538981904970288;0.012770237065523122;0.00065263910129902125;-0.00019977560801436554
0.012936145161409184;0.013020721892418874;0.013588837499076514;0.01281214647297485;0.00065269233766732972;-0.00020857541944402369
0.01371277284901682;0.013806026329162027;0.014405304448960498;0.013579009937431845;0.00069253159994367777;-0.0002270163917301813
0.013946475694588532;0.014043111835649982;0.014655006518419722;0.013814236084382253;0.00070853082383118965;-0.00022887575126772849
0.013052114923164817;0.013141317090025681;0.013719499561674406;0.012933044873721662;0.000667384638509589;-0.00020827221630401876
0.012016561777381732;0.012097957775625738;0.012631380433061289;0.011906549026702446;0.00061481865567955714;-0.000191408748923292
0.011779739622770942;0.011862237942644105;0.012378072845442184;0.011665225322156875;0.00059833322267124206;-0.00019701262048722919
0.011868194524744181;0.011956122853825055;0.012465153875989428;0.011743991272051314;0.0005969593512452475;-0.00021213158177374111
0.011368640651586895;0.011458422141637409;0.011936918082517092;0.011241579175900148;0.00056827743093019675;-0.00021684296573726107
0.010359808985661439;0.0104489632285851;0.01087820141258887;0.010236988634534403;0.00051839242692743037;-0.00021197459405069771
0.009531558843447821;0.0096223087035740389;0.010012374839024767;0.0094128078973069254;0.00048081599557694629;-0.00020950080626711345
